1,Brazil,BRA,1841.3,1837.56,0,CONMEBOL,2022-10-06
2,Belgium,BEL,1816.71,1821.92,0,UEFA,2022-10-06
3,Argentina,ARG,1773.88,1770.65,0,CONMEBOL,2022-10-06
4,France,FRA,1759.78,1764.85,0,UEFA,2022-10-06
5,England,ENG,1728.47,1737.46,0,UEFA,2022-10-06
6,Spain,ESP,1715.22,1716.93,-1,UEFA,2022-10-06
8,Netherlands,NED,1679.41,1679.41,0,UEFA,2022-10-06
9,Portugal,POR,1678.65,1678.65,0,UEFA,2022-10-06
10,Denmark,DEN,1666.57,1665.47,0,UEFA,2022-10-06
11,Germany,GER,1650.21,1658.96,0,UEFA,2022-10-06
13,Mexico,MEX,1649.57,1649.57,-1,CONCACAF,2022-10-06
14,Uruguay,URU,1638.89,1640.95,-1,CONMEBOL,2022-10-06
16,United States,USA,1627.48,1635.01,-2,CONCACAF,2022-10-06
12,Croatia,CRO,1645.64,1632.15,3,UEFA,2022-10-06
15,Switzerland,CHE,1635.92,1621.43,1,UEFA,2022-10-06
18,Senegal,SEN,1584.38,1584.59,0,CAF,2022-10-06
19,Wales,WAL,1569.82,1582.13,0,UEFA,2022-10-06
20,Iran,IRN,1564.61,1558.64,2,AFC,2022-10-06
22,Morocco,MAR,NA,1563.5,1,CAF,2022-10-06
24,Japan,JPN,1559.54,1554.69,0,AFC,2022-10-06
21,Serbia,SRB,1563.62,1549.53,4,UEFA,2022-10-06
26,Poland,POL,1548.59,1546.18,0,UEFA,2022-10-06
28,South Korea,KOR,1530.3,1526.02,0,AFC,2022-10-06
30,Tunisia,TUN,1507.54,1507.86,0,CAF,2022-10-06
31,Costa Rica,CRC,1503.59,1500.06,4,CONCACAF,2022-10-06
43,Cameroon,CMR,1471.44,1484.95,-5,CAF,2022-10-06
38,Australia,AUS,1488.72,1483.73,0,AFC,2022-10-06
41,Canada,CAN,1475,1473.82,2,CONCACAF,2022-10-06
44,Ecuador,ECU,1464.39,1463.74,0,CONMEBOL,2022-10-06
50,Qatar,QAT,1439.89,1441.97,-2,AFC,2022-10-06
51,Saudi Arabia,KSA,1437.78,1435.74,0,AFC,2022-10-06
61,Ghana,GHA,1393,1393.47,-1,CAF,2022-10-06
